step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,mean_abs_yaw_error,done_count,no_nan_inf
60,0.7035830020904541,0.33732032775878906,0.2109375,0.2440345287322998,0,True
61,0.7183548212051392,0.34425002336502075,0.21875,0.23539191484451294,0,True
62,0.7397490739822388,0.32367992401123047,0.2265625,0.2526979446411133,0,True
63,0.7455506324768066,0.3000541627407074,0.234375,0.23374313116073608,0,True
64,0.7642719149589539,0.29713141918182373,0.234375,0.25293615460395813,0,True
65,0.734546959400177,0.31540894508361816,0.2578125,0.2411772757768631,1,True
66,0.7173693180084229,0.33933648467063904,0.25,0.23967237770557404,0,True
67,0.717192530632019,0.34477683901786804,0.2578125,0.25278520584106445,0,True
68,0.7183077931404114,0.33420243859291077,0.265625,0.20402492582798004,0,True
69,0.713545560836792,0.3423597812652588,0.265625,0.24124276638031006,1,True
70,0.7376806735992432,0.3286997079849243,0.265625,0.26290079951286316,0,True
71,0.7464550733566284,0.3228323459625244,0.265625,0.2378668338060379,1,True
72,0.7589449286460876,0.3229444622993469,0.265625,0.2630329728126526,0,True
73,0.7711611986160278,0.3186976909637451,0.2734375,0.2523437738418579,0,True
74,0.7509602308273315,0.31035691499710083,0.2734375,0.25185367465019226,0,True
75,0.7436292767524719,0.3089984059333801,0.28125,0.2571902573108673,0,True
76,0.7381669282913208,0.31119853258132935,0.296875,0.22504782676696777,0,True
77,0.7426736354827881,0.31065481901168823,0.3046875,0.22120477259159088,0,True
78,0.7526111006736755,0.3088735044002533,0.3046875,0.20738276839256287,0,True
79,0.7571857571601868,0.30621302127838135,0.3203125,0.18905073404312134,0,True
80,0.759505033493042,0.29387933015823364,0.3203125,0.19774223864078522,1,True
81,0.7809395790100098,0.2943747639656067,0.328125,0.17395269870758057,1,True
82,0.7931118011474609,0.28607872128486633,0.3359375,0.20729409158229828,0,True
83,0.8006798028945923,0.2791685461997986,0.3515625,0.19023337960243225,0,True
84,0.812256932258606,0.2753697335720062,0.3515625,0.2006348967552185,0,True
85,0.8073832392692566,0.28330644965171814,0.359375,0.18990133702754974,0,True
86,0.7925891280174255,0.2867514491081238,0.359375,0.17775335907936096,0,True
87,0.7690966725349426,0.28942832350730896,0.3828125,0.1657366305589676,0,True
88,0.7565553188323975,0.2901242971420288,0.3828125,0.2012418508529663,0,True
89,0.7650929689407349,0.2790036201477051,0.3828125,0.19268807768821716,0,True
90,0.7826509475708008,0.27286669611930847,0.40625,0.2060636579990387,0,True
91,0.8030406832695007,0.2627429962158203,0.40625,0.2311745136976242,0,True
92,0.8129441738128662,0.2633579969406128,0.421875,0.21203875541687012,0,True
93,0.813423752784729,0.2802276611328125,0.4453125,0.20282942056655884,1,True
94,0.8254701495170593,0.28054308891296387,0.4453125,0.2059078812599182,0,True
95,0.824201226234436,0.28206008672714233,0.4453125,0.18877266347408295,0,True
96,0.8301652669906616,0.2664715051651001,0.4609375,0.18242430686950684,1,True
97,0.827141523361206,0.2539415955543518,0.4609375,0.17551551759243011,0,True
98,0.819635272026062,0.24740718305110931,0.4609375,0.18359321355819702,0,True
99,0.8176549077033997,0.24802209436893463,0.46875,0.20021936297416687,0,True
100,0.8359957337379456,0.23135343194007874,0.5,0.18596631288528442,0,True
101,0.8473491072654724,0.22432538866996765,0.5,0.1776479184627533,0,True
102,0.8534844517707825,0.22213709354400635,0.5234375,0.16333557665348053,0,True
103,0.8510247468948364,0.2366560697555542,0.53125,0.18016168475151062,0,True
104,0.8599226474761963,0.24170225858688354,0.5390625,0.16028369963169098,0,True
105,0.8643447160720825,0.2534864544868469,0.5390625,0.1502101719379425,0,True
106,0.8605268001556396,0.24434299767017365,0.5390625,0.1847349852323532,0,True
107,0.8482920527458191,0.24741870164871216,0.5625,0.1788981705904007,0,True
108,0.8438380360603333,0.243163600564003,0.5703125,0.1586524248123169,1,True
109,0.8337258100509644,0.2311796396970749,0.5625,0.1731424182653427,0,True
110,0.840343177318573,0.2227569967508316,0.5703125,0.18071426451206207,0,True
111,0.8458964824676514,0.224010169506073,0.578125,0.15642200410366058,0,True
112,0.8638341426849365,0.21860940754413605,0.578125,0.16571933031082153,0,True
113,0.8739585876464844,0.2118898630142212,0.6015625,0.1852533519268036,0,True
114,0.881285548210144,0.19881118834018707,0.6015625,0.1706518530845642,0,True
115,0.8869577646255493,0.20861530303955078,0.609375,0.14912748336791992,0,True
116,0.9030876159667969,0.21858277916908264,0.609375,0.14561650156974792,0,True
117,0.9026105999946594,0.22740969061851501,0.609375,0.1517246663570404,0,True
118,0.8823608160018921,0.22009916603565216,0.6171875,0.15378135442733765,0,True
119,0.8670811057090759,0.2067626416683197,0.625,0.16592128574848175,0,True
120,0.8560247421264648,0.21182893216609955,0.625,0.16143594682216644,0,True
121,0.8673760890960693,0.20842425525188446,0.640625,0.16318616271018982,0,True
122,0.8802607655525208,0.1994866579771042,0.6640625,0.1703633964061737,0,True
123,0.9064335227012634,0.19527918100357056,0.671875,0.18518656492233276,0,True
124,0.907127857208252,0.19362321496009827,0.671875,0.15913578867912292,0,True
125,0.8983824253082275,0.18708613514900208,0.6796875,0.14209914207458496,0,True
126,0.9106152653694153,0.19515883922576904,0.6953125,0.14250367879867554,0,True
127,0.9168014526367188,0.20208679139614105,0.7265625,0.12108360230922699,0,True
128,0.9264425039291382,0.20409426093101501,0.7265625,0.18234778940677643,0,True
129,0.9091790914535522,0.20136819779872894,0.734375,0.15100441873073578,0,True
130,0.8873300552368164,0.19142964482307434,0.7421875,0.1461624652147293,0,True
131,0.8777782917022705,0.19869881868362427,0.7578125,0.12495021522045135,0,True
132,0.9034014940261841,0.18408359587192535,0.78125,0.16563616693019867,0,True
133,0.9123517274856567,0.17478430271148682,0.7890625,0.1864718645811081,0,True
134,0.9203189611434937,0.17561282217502594,0.796875,0.17533132433891296,0,True
135,0.9150223135948181,0.1731240153312683,0.796875,0.13399510085582733,0,True
136,0.912320613861084,0.18331274390220642,0.8125,0.12587696313858032,0,True
137,0.9226837158203125,0.1881829798221588,0.828125,0.1262228935956955,0,True
138,0.9360626935958862,0.17833489179611206,0.8359375,0.15886230766773224,0,True
139,0.9276713132858276,0.18434879183769226,0.84375,0.14709487557411194,0,True
140,0.9195479154586792,0.18606111407279968,0.84375,0.1572456657886505,0,True
141,0.9068607091903687,0.17415371537208557,0.859375,0.16927972435951233,0,True
142,0.9079862833023071,0.15876370668411255,0.8671875,0.16295045614242554,0,True
143,0.9293757081031799,0.15955716371536255,0.8828125,0.17613473534584045,0,True
144,0.9452041983604431,0.16620133817195892,0.890625,0.17894384264945984,0,True
145,0.9462546706199646,0.1557721495628357,0.8984375,0.16077613830566406,0,True
146,0.9433448314666748,0.15496402978897095,0.9140625,0.13638705015182495,0,True
147,0.9451842904090881,0.15581807494163513,0.9140625,0.11933541297912598,0,True
148,0.9586014151573181,0.1577913463115692,0.9140625,0.13577891886234283,0,True
149,0.9615392684936523,0.16699135303497314,0.9296875,0.13896042108535767,0,True
150,0.9620742797851562,0.1629103422164917,0.9296875,0.13310396671295166,0,True
151,0.9598739147186279,0.1661374866962433,0.953125,0.1603875756263733,0,True
152,0.9430811405181885,0.16522707045078278,0.953125,0.1528880000114441,0,True
153,0.9270516633987427,0.16082170605659485,0.953125,0.14084088802337646,0,True
154,0.9417709708213806,0.15876807272434235,0.953125,0.13428157567977905,0,True
155,0.9466216564178467,0.15177011489868164,0.953125,0.16010616719722748,1,True
156,0.9622572660446167,0.14552029967308044,0.953125,0.18484319746494293,0,True
157,0.9642895460128784,0.15032221376895905,0.953125,0.14755329489707947,0,True
158,0.9580318927764893,0.15772008895874023,0.953125,0.12902133166790009,0,True
159,0.9663159847259521,0.16391639411449432,0.953125,0.14698438346385956,0,True
160,0.9558830261230469,0.1569657176733017,0.953125,0.15970340371131897,0,True
161,0.9463854432106018,0.16554127633571625,0.953125,0.1595465987920761,0,True
162,0.9484684467315674,0.16699567437171936,0.953125,0.16683590412139893,0,True
163,0.9385080337524414,0.161387100815773,0.953125,0.16391462087631226,0,True
164,0.9496819376945496,0.16167467832565308,0.953125,0.15947633981704712,0,True
165,0.9593320488929749,0.16049188375473022,0.953125,0.148147851228714,0,True
166,0.956070065498352,0.15604490041732788,0.953125,0.16269110143184662,0,True
167,0.9554004669189453,0.1615312248468399,0.953125,0.15323923528194427,0,True
168,0.9536875486373901,0.16126525402069092,0.953125,0.17254939675331116,0,True
169,0.9498859643936157,0.1648825854063034,0.953125,0.1650773584842682,0,True
170,0.9501303434371948,0.1687719225883484,0.953125,0.15882468223571777,0,True
171,0.9431873559951782,0.16048204898834229,0.953125,0.17785672843456268,0,True
172,0.9432984590530396,0.16238269209861755,0.953125,0.1700943410396576,0,True
173,0.9329127073287964,0.14612391591072083,0.953125,0.1629127562046051,0,True
174,0.9325734376907349,0.15515810251235962,0.953125,0.12554442882537842,0,True
175,0.9570447206497192,0.1685350388288498,0.953125,0.12521444261074066,0,True
176,0.9745563864707947,0.15735846757888794,0.953125,0.1549244374036789,0,True
177,0.9680105447769165,0.14768144488334656,0.953125,0.15191887319087982,0,True
178,0.9732480049133301,0.1581723988056183,0.953125,0.1391800045967102,0,True
179,0.9776967763900757,0.15094172954559326,0.9609375,0.13257598876953125,0,True
180,0.9631679058074951,0.1506146490573883,0.9609375,0.1672932505607605,0,True
181,0.9690971970558167,0.15601076185703278,0.9609375,0.15700528025627136,0,True
182,0.9646115303039551,0.15934601426124573,0.9609375,0.15992778539657593,0,True
183,0.9547009468078613,0.15929636359214783,0.9609375,0.16564738750457764,0,True
184,0.9446431994438171,0.15341821312904358,0.9609375,0.17532746493816376,0,True
185,0.9441854357719421,0.1495012491941452,0.9609375,0.1566542387008667,0,True
186,0.9570066332817078,0.15511584281921387,0.9609375,0.15352267026901245,0,True
187,0.9683234691619873,0.16678637266159058,0.9609375,0.15293976664543152,0,True
188,0.9729053974151611,0.17206111550331116,0.9609375,0.14567570388317108,0,True
189,0.972268283367157,0.1641397774219513,0.9609375,0.1549679934978485,0,True
190,0.9674712419509888,0.1539345383644104,0.9609375,0.16395293176174164,0,True
191,0.9502035975456238,0.1528894007205963,0.9609375,0.15462681651115417,0,True
192,0.9487075805664062,0.15667341649532318,0.9609375,0.1801026165485382,0,True
193,0.9607827663421631,0.16312377154827118,0.9609375,0.18753188848495483,0,True
194,0.9681999683380127,0.15127773582935333,0.9609375,0.16526100039482117,0,True
