source_root,velocity_mode,protocol,policy,alpha,selected_fault_joint_index,joint_name,mean_abs_vx_error_post_fault,p90_abs_vx_error_post_fault,torso_height_failure_rate,timeout_rate,post_fault_sample_count,post_fault_alive_sample_fraction,post_fault_done_sample_rate
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,1,7,right_back_foot,0.2397675267546909,0.5958637952804577,,,5830,0.997770154,0.00222984563
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a2_history,,0,front_left_leg,0.42540192347319566,0.7909181892871856,,,8404,0.998215136,0.00178486435
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a2_history,,1,front_right_leg,0.3906284202242372,0.8799307882785798,,,5628,0.99822317,0.00177683014
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a2_history,,2,left_back_leg,0.6276484003575993,1.3335219502449036,,,7804,0.997437212,0.00256278831
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a2_history,,3,right_back_leg,0.6921280414757287,1.3992719650268555,,,6855,0.997957695,0.00204230489
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a2_history,,4,front_left_foot,0.8583726460121163,1.161222290992737,,,6878,0.998400698,0.00159930212
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a2_history,,5,front_right_foot,0.23904288755361475,0.5880923807621008,,,11328,0.998587571,0.00141242938
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a2_history,,6,left_back_foot,0.40790549636592527,0.9160797238349915,,,9295,0.998708983,0.00129101668
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a2_history,,7,right_back_foot,1.3186562446232786,3.7514060974121133,,,5765,0.997224631,0.0027753686
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.25,0,front_left_leg,0.2837670674429395,0.6179304540157319,,,8418,0.99845569,0.00154430981
